date,ticker,offexchange_source_available,offexchange_fresh,offexchange_history_n,offexchange_dpi,offexchange_dpi_z60,offexchange_volume_z60,patent_source_available,patent_count_30,patent_count_90,patent_claims_90,patent_ai_share_90,patent_acceleration_90,patent_count_90_z252,patent_claims_90_z252,patent_drift_source_available,patent_drift,patent_drift_percentile_24m,patent_drift_change_3m,sec13f_source_available,sec13f_fresh,sec13f_window_days,sec13f_net_change_usd_45d,sec13f_gross_change_usd_45d,sec13f_net_usd_ratio_45d,sec13f_net_change_shares_45d,sec13f_gross_change_shares_45d,sec13f_net_share_ratio_45d,sec13f_adders_45d,sec13f_reducers_45d,sec13f_breadth_45d,sec13f_breadth_rate_45d,sec13f_filing_count_45d,sec13f_new_positions_45d,sec13f_full_exits_45d,sec13f_total_held_45d,sec13f_net_change_to_held_45d
2024-05-24,AAPL,1,1,60,0.414778,0.4012,-0.398,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-27,AAPL,1,1,60,0.414778,0.4199,-0.3849,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-28,AAPL,1,1,60,0.414778,0.4029,-0.364,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-29,AAPL,1,1,60,0.492861,1.677,-0.2639,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-30,AAPL,1,1,60,0.544688,2.4581,-0.2144,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-05-31,AAPL,1,1,60,0.544688,2.3148,-0.2011,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-03,AAPL,1,1,60,0.423561,0.3297,-0.3072,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-04,AAPL,1,1,60,0.423561,0.3111,-0.2881,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-05,AAPL,1,1,60,0.425197,0.318,-0.8256,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-06,AAPL,1,1,60,0.357785,-0.7522,-0.0275,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-07,AAPL,1,1,60,0.461419,0.8734,-1.4489,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-10,AAPL,1,1,60,0.461419,0.851,-1.3954,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-11,AAPL,1,1,60,0.504957,1.4996,2.5663,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-12,AAPL,1,1,60,0.395855,-0.2228,4.2312,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-13,AAPL,1,1,60,0.395855,-0.2273,3.6575,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-14,AAPL,1,1,60,0.543856,2.0347,1.4878,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-17,AAPL,1,1,60,0.543856,1.9334,1.5166,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-18,AAPL,1,1,60,0.581733,2.4107,1.4076,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-19,AAPL,1,1,60,0.581733,2.281,1.3757,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-20,AAPL,1,1,60,0.581733,2.1558,1.3275,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-21,AAPL,1,1,60,0.501346,0.9628,0.7573,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-24,AAPL,1,1,60,0.561469,1.7509,0.7054,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-25,AAPL,1,1,60,0.494659,0.7817,0.7007,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-26,AAPL,1,1,60,0.522556,1.1325,-0.4991,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-27,AAPL,1,1,60,0.522556,1.095,-0.5048,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-06-28,AAPL,1,1,60,0.433995,-0.1404,-0.513,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-01,AAPL,1,1,60,0.433995,-0.1768,-0.513,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-02,AAPL,1,1,60,0.369762,-1.1237,0.3022,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-03,AAPL,1,1,60,0.361509,-1.2674,0.1279,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-07-04,AAPL,1,1,60,0.364531,-1.2706,-0.8881,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
