date,ticker,insider_buy_score,insider_sell_risk,insider_net_score,news_risk_score,news_positive_score,app_rating_trend,app_rating_risk,patent_momentum,event_risk,offense_boost,defense_veto,signal_expiry_date,source_counts
2026-06-30,HP,0,0,0,0,0,0,0,1.4979,0,0.2247,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,HIMX,0,0,0,0,0,0,0,4.142,0,0.6213,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,GSIT,0,0,0,0,0,0,0,0.8047,0,0.1207,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,GOLF,0,0,0,0,0,0,0,1.4166,0,0.2125,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,FMC,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,ENTG,0,0,0,0,0,0,0,3.6221,0,0.5433,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,EMN,0,0,0,0,0,0,0,1.1513,0,0.1727,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,DTIL,0,0,0,0,0,0,0,0.8047,0,0.1207,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,DOCU,0,0,0,0,0,0,0,4.1223,0,0.6183,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,DNLI,0,0,0,0,0,0,0,2.7188,0,0.4078,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,CVLT,0,0,0,0,0,0,0,2.2223,0,0.3333,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,CRUS,0,0,0,0,0,0,0,5.8017,0,0.8703,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":4}"
2026-06-30,CRM,0,0,0,0,0,0,0,10,0,2.0325,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":7}"
2026-06-30,CRCL,0,0,0,0,0,0,0,1.6989,0,0.2548,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,CDXS,0,0,0,0,0,0,0,4.1937,0,0.6291,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":2}"
2026-06-30,CART,0,0,0,0,0,0,0,8.689,0,1.3034,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":4}"
2026-06-30,BWA,0,0,0,0,0,0,0,1.4722,0,0.2208,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,BPMC,0,0,0,0,0,0,0,2.4223,0,0.3633,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,BNTX,0,0,0,0,0,0,0,1.4452,0,0.2168,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,BMY,0,0,0,0,0,0,0,1.3195,0,0.1979,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,BLDR,0,0,0,0,0,0,0,1.354,0,0.2031,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":1}"
2026-06-30,BDX,0,0,0,0,0,0,0,5.387,0,0.808,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":3}"
2026-06-30,BC,0,0,0,0,0,0,0,6.3883,0,0.9582,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":0,""patents"":4}"
